1787203162,508,1,118222
1787203163,508,1,117607
1787203164,708,2,116711
1787203165,13046,2,102803
1787203166,13046,2,98441
1787203167,13057,3,87582
1787203168,13422,3,85584
1787203169,13632,3,83443
1787203170,13832,3,82278
1787203171,14072,3,81718
1787203172,19724,3,79968
1787203173,26502,3,73524
1787203174,26502,3,72289
1787203175,26502,3,71143
1787203176,27285,3,68078
1787203178,31027,3,64368
1787203179,31027,3,64312
1787203180,31027,3,64358
1787203188,55777,4,40579
1787203189,55853,4,40821
1787203190,55853,4,40813
1787203191,56189,4,40431
1787203192,56189,4,40411
1787203193,56189,4,40388
1787203194,56189,4,40358
1787203195,56189,4,40345
1787203196,56189,4,40336
1787203198,56189,4,40318
1787203199,56189,4,40315
1787203200,56189,4,40293
1787203201,56189,4,40296
1787203202,56189,4,40342
1787203203,56189,4,40349
1787203204,56189,4,40350
1787203205,56189,4,40329
1787203206,56189,4,40323
1787203207,56189,4,40227
1787203208,56189,4,40238
1787203210,56189,4,40232
1787203211,56189,4,40211
1787203212,56189,4,40184
1787203213,56189,4,39723
1787203214,56189,4,39688
1787203215,56189,4,39549
1787203216,56189,4,39242
1787203217,56239,4,39398
1787203218,56241,4,39372
1787203219,56241,4,39309
1787203220,56241,4,39304
1787203222,56241,4,39335
1787203223,56241,4,39320
1787203224,51739,4,43827
1787203225,51739,4,43767
1787203226,51739,4,43816
1787203227,51739,4,43775
1787203228,51739,4,43763
1787203229,51699,4,52528
1787203230,51699,4,55394
1787203231,37872,3,69878
1787203232,37872,3,69894
1787203234,37874,3,69862
1787203235,37874,3,69867
1787203236,37874,3,69868
1787203237,37874,3,69871
1787203238,37874,3,69862
1787203239,37874,3,69882
1787203240,37884,3,69666
1787203241,37884,3,69184
1787203243,37886,3,69251
1787203244,37886,3,69205
1787203245,37886,3,69107
1787203246,37886,3,69155
1787203247,37886,3,69161
1787203248,37886,3,69154
1787203249,37886,3,69180
1787203250,37886,3,69166
1787203252,37886,3,69065
1787203253,37886,3,69179
1787203254,37886,3,69156
1787203255,37886,3,69075
1787203256,37886,3,69060
1787203257,37886,3,69188
1787203258,37888,3,69047
1787203259,37888,3,69016
1787203261,37888,3,69004
1787203262,37888,3,68968
1787203263,37888,3,69034
1787203264,25552,3,82223
1787203265,25552,3,82371
1787203266,25552,3,82381
1787203267,25552,3,82892
1787203268,25552,3,86596
1787203269,25272,2,87180
1787203270,25272,2,87208
1787203271,25272,2,87201
1787203272,25272,2,87236
1787203273,25272,2,87257
1787203274,25272,2,87268
1787203275,25272,2,87262
1787203277,25272,2,87281
1787203278,25272,2,87294
1787203279,25272,2,87268
1787203280,25272,2,86927
1787203281,25272,2,86995
1787203282,25272,2,87104
1787203283,25272,2,87132
1787203284,25272,2,87165
1787203285,25272,2,87200
1787203286,25272,2,87209
1787203287,25272,2,87213
1787203288,25272,2,87224
1787203289,25272,2,87205
1787203290,25272,2,87238
1787203291,25272,2,87239
1787203292,25272,2,87243
1787203293,25272,2,87272
1787203294,25272,2,87017
1787203295,25272,2,86986
1787203296,25272,2,86994
1787203298,25272,2,86988
1787203299,25272,2,87081
1787203300,25283,2,87093
1787203301,25283,2,87103
1787203302,25283,2,87124
1787203303,25283,2,87138
1787203304,25283,2,87160
1787203305,25283,2,87179
1787203306,25283,2,87174
1787203307,25283,2,87182
1787203309,25283,2,87193
1787203310,25283,2,87210
1787203311,25283,2,87218
1787203312,25283,2,87232
1787203313,25283,2,87220
1787203314,25283,2,87225
1787203315,25283,2,87223
1787203316,25283,2,87241
1787203317,25347,2,87192
1787203318,25347,2,87206
1787203319,25347,2,87210
1787203320,25347,2,87180
1787203322,25347,2,87171
1787203323,25347,2,87194
1787203324,25347,2,87213
1787203325,25347,2,87075
1787203326,25349,2,87077
1787203327,25349,2,87081
1787203328,25351,2,86960
1787203329,25351,2,87041
1787203330,25351,2,87065
1787203331,25351,2,87080
1787203332,25351,2,87058
1787203333,25351,2,87073
1787203334,25351,2,87095
1787203335,25351,2,87102
1787203336,25351,2,87017
1787203337,25351,2,87022
1787203339,25351,2,87052
1787203340,25351,2,87049
1787203341,25351,2,87080
1787203342,25351,2,87110
1787203343,25351,2,87113
1787203344,25351,2,87101
1787203345,25351,2,87102
1787203346,25351,2,87122
1787203347,25351,2,86945
1787203348,25351,2,86928
1787203349,25351,2,86900
1787203350,25351,2,86858
1787203351,25351,2,86952
1787203352,25355,2,86945
1787203353,25355,2,86980
1787203354,25355,2,86983
1787203355,25355,2,86995
1787203357,25355,2,87014
1787203358,25355,2,87048
1787203359,25355,2,87061
1787203360,25355,2,87064
1787203361,25355,2,87087
1787203362,25355,2,87088
1787203363,25355,2,87091
1787203364,25355,2,87109
1787203365,25355,2,87131
1787203367,25355,2,87149
1787203368,25355,2,87144
1787203369,25355,2,87150
1787203370,25355,2,87132
1787203371,802,2,112154
1787203372,802,2,114489
1787203373,508,1,118279
1787203374,508,1,118256
1787203375,508,1,118273
1787203376,508,1,118275
1787203377,508,1,118276
1787203379,508,1,118261
1787203380,508,1,118239
1787203381,508,1,118248
1787203382,508,1,118273
1787203383,508,1,118265
1787203384,508,1,118266
1787203385,508,1,118257
1787203386,508,1,118263
1787203387,508,1,118258
1787203388,508,1,118264
1787203389,508,1,118294
1787203390,508,1,118282
1787203391,508,1,118263
1787203392,508,1,118261
1787203393,508,1,118254
1787203394,508,1,118242
1787203395,508,1,118239
1787203396,508,1,118236
1787203397,508,1,118242
1787203398,508,1,118229
1787203399,508,1,118209
1787203401,508,1,118210
1787203402,508,1,118197
1787203403,508,1,118189
1787203404,508,1,118191
1787203405,508,1,118232
1787203406,508,1,118214
1787203407,508,1,118213
1787203408,508,1,118227
1787203409,508,1,118211
1787203410,508,1,118221
1787203411,508,1,118229
1787203412,508,1,118209
1787203413,508,1,118240
1787203414,508,1,118235
1787203415,508,1,118230
1787203416,508,1,118232
1787203417,508,1,118249
1787203418,508,1,118256
1787203419,508,1,118255
1787203420,508,1,118248
1787203422,508,1,118242
1787203423,508,1,118229
1787203424,508,1,118228
1787203425,508,1,118224
1787203426,508,1,118213
1787203427,508,1,118209
1787203428,508,1,118208
1787203429,508,1,118210
1787203430,508,1,118220
1787203431,508,1,118218
1787203432,508,1,118228
1787203433,508,1,118232
1787203434,508,1,118226
1787203435,508,1,118247
1787203436,508,1,118245
1787203437,508,1,118228
1787203438,508,1,118219
1787203439,508,1,118218
1787203440,508,1,118203
1787203441,508,1,118196
1787203443,508,1,118210
1787203444,508,1,118232
1787203445,508,1,118249
1787203446,508,1,118215
1787203447,508,1,118229
1787203448,508,1,118219
1787203449,508,1,118210
