1787299063,118549,508
1787299065,118457,508
1787299067,118490,508
1787299069,118059,678
1787299071,117145,678
1787299073,115308,678
1787299075,114986,678
1787299077,114745,678
1787299079,114482,678
1787299081,114191,678
1787299083,113161,678
1787299085,88579,25258
1787299087,88544,25258
1787299089,88001,25258
1787299091,88494,25258
1787299093,88208,25258
1787299095,88335,25260
1787299097,88372,25260
1787299099,87579,25440
1787299102,74272,37980
1787299104,73549,37980
1787299106,72572,37980
1787299108,70196,37980
1787299110,69923,37980
1787299112,70067,37980
1787299114,70222,37980
1787299116,71007,37483
1787299118,70865,37597
1787299120,70857,37472
1787299122,70892,37472
1787299124,70629,37548
1787299126,70677,37548
1787299128,70526,37548
1787299130,70588,37548
1787299132,70515,37548
1787299134,70470,37548
1787299136,62646,37548
1787299138,58057,37754
1787299140,57786,37884
1787299143,57528,38004
1787299145,57249,38114
1787299147,56959,38254
1787299149,56728,38374
1787299151,56336,38574
1787299153,55434,39110
1787299155,54887,44226
1787299157,49961,49978
1787299159,49140,51004
1787299161,47792,51014
1787299163,46402,51508
1787299165,42385,54987
1787299167,42411,54987
1787299169,42430,54987
1787299171,42448,54987
1787299173,42474,54987
1787299175,42496,54987
1787299177,42528,54987
1787299180,42565,54987
1787299182,42609,54987
1787299184,42456,54989
1787299186,42474,54989
1787299188,42474,54989
1787299190,42439,55053
1787299192,55860,42717
1787299194,56729,42717
1787299196,60166,42437
1787299198,60144,42637
1787299200,47206,54975
1787299202,46876,54975
1787299204,46254,54977
1787299206,45375,55027
1787299208,43018,54965
1787299210,42409,54965
1787299212,42418,54965
1787299215,42435,54965
1787299217,42455,54965
1787299219,42492,54965
1787299221,42438,54965
1787299223,42469,54965
1787299225,42506,54965
1787299227,42320,54973
1787299229,41625,55587
1787299231,41627,55587
1787299233,41326,55663
1787299235,40976,55995
1787299237,41147,55995
1787299239,41165,55999
1787299241,41165,55999
1787299243,41203,55999
1787299245,41202,55999
1787299247,41216,55999
1787299249,41239,55999
1787299251,41241,55999
1787299253,41265,55999
1787299256,41294,55999
1787299258,41313,55999
1787299260,41339,55999
1787299262,41329,55999
1787299264,41336,55999
1787299266,41332,55999
1787299268,41343,55999
1787299270,41360,55999
1787299272,41368,55999
1787299274,41373,55999
1787299276,41371,55999
1787299278,41378,55999
1787299280,41342,56005
1787299282,41320,56005
1787299284,41309,56005
1787299286,41319,56005
1787299288,41317,56013
1787299290,41322,56013
1787299292,41323,56013
1787299294,41322,56013
1787299297,44870,52531
1787299299,41622,55727
1787299301,41640,55727
1787299303,41630,55727
1787299305,41624,55727
1787299307,41639,55727
1787299309,41630,55727
1787299311,41631,55727
1787299313,41636,55727
1787299315,41635,55727
1787299317,41627,55727
1787299319,41630,55727
1787299321,41617,55727
1787299323,41625,55727
1787299325,41635,55727
1787299327,41637,55727
1787299329,41643,55727
1787299331,41635,55727
1787299333,41621,55727
1787299336,41280,56063
1787299338,41280,56063
1787299340,41282,56063
1787299342,41294,56063
1787299344,41285,56063
1787299346,41281,56063
1787299348,41301,56063
1787299350,41308,56063
1787299352,41306,56063
1787299354,41307,56063
1787299356,41302,56063
1787299358,41292,56063
1787299360,41297,56063
1787299362,41292,56063
1787299364,41130,56065
1787299366,41132,56065
1787299368,41121,56065
1787299370,54532,43737
1787299372,54511,43733
1787299375,56810,43389
1787299377,59348,43109
1787299379,50490,55645
1787299381,45722,55647
1787299383,45307,55647
1787299385,44683,55647
1787299387,43431,55983
1787299389,41884,55983
1787299391,41483,55983
1787299394,41669,55983
1787299396,41625,55983
1787299398,41691,55983
1787299400,41662,55983
1787299402,41708,55983
1787299404,41660,55983
1787299406,41640,55991
1787299408,41571,54441
1787299410,41701,55647
1787299412,41652,55647
1787299414,41405,55723
1787299416,41407,55723
1787299418,41423,55723
1787299420,41439,55723
1787299422,41455,55723
1787299424,41481,55723
1787299426,41500,55723
1787299428,41516,55723
1787299430,41518,55723
1787299432,41528,55723
1787299435,41535,55723
1787299437,41187,56059
1787299439,41192,56059
1787299441,41193,56059
1787299443,41200,56059
1787299445,41028,56059
1787299447,40907,56059
1787299449,40968,56059
1787299451,40894,56059
1787299453,40905,56059
1787299455,40922,56059
1787299457,40956,56059
1787299459,40972,56059
1787299461,40985,56059
1787299463,40996,56067
1787299465,41016,56067
1787299467,41940,54517
1787299469,45709,51457
1787299471,45740,51457
1787299474,45765,51417
1787299476,55177,51417
1787299478,70420,37632
1787299480,70408,37632
1787299482,70540,37632
1787299484,70552,37635
1787299486,70543,37635
1787299488,70551,37635
1787299490,70457,37635
1787299492,70428,37637
1787299494,70444,37637
1787299496,70451,37637
1787299498,70465,37637
1787299500,70485,37637
1787299502,83884,25301
1787299505,84256,25301
1787299507,85481,25301
1787299509,88369,25021
1787299511,74803,37559
1787299513,72972,37559
1787299515,70675,37559
1787299517,70700,37559
1787299519,70666,37559
1787299521,70693,37559
1787299523,70726,37559
1787299525,70732,37559
1787299527,70749,37559
1787299529,70461,37635
1787299531,70433,37635
1787299533,70512,37635
1787299535,70535,37637
1787299537,70555,37637
1787299539,70584,37637
1787299541,70615,37637
1787299543,70626,37637
1787299545,70655,37637
1787299547,70675,37637
1787299549,70685,37637
1787299551,70698,37637
1787299554,70704,37637
1787299556,70719,37637
1787299558,70719,37637
1787299560,70722,37637
1787299562,70721,37637
1787299564,70708,37637
1787299566,70711,37637
1787299568,70704,37632
1787299570,70642,37632
1787299572,70612,37632
1787299574,70596,37632
1787299576,70601,37632
1787299578,70612,37632
1787299580,70533,37632
1787299582,70486,37632
1787299584,70557,37632
1787299586,70521,37632
1787299589,70584,37632
1787299591,70359,37634
1787299593,70286,37634
1787299595,83280,25298
1787299597,83877,25298
1787299599,83987,25298
1787299601,88407,25018
1787299603,74840,37556
1787299605,73933,37556
1787299607,70496,37556
1787299609,70329,37556
1787299611,70348,37556
1787299613,70281,37556
1787299615,70329,37556
1787299617,70172,37556
1787299619,70175,37556
1787299621,69945,37632
1787299623,70000,37632
1787299625,70062,37632
1787299627,70115,37632
1787299629,69934,37632
1787299632,69929,37632
1787299634,70095,37632
1787299636,70122,37635
1787299638,70161,37635
1787299640,70201,37635
1787299642,70241,37635
1787299644,70260,37635
1787299646,70288,37635
1787299648,70312,37635
