1787299918,119459,0
1787299920,119347,0
1787299922,119352,0
1787299924,118903,170
1787299926,118084,170
1787299928,116232,170
1787299930,115878,170
1787299932,115734,170
1787299934,115603,170
1787299936,115480,170
1787299938,114304,170
1787299940,89689,24750
1787299943,89615,24750
1787299945,89018,24750
1787299947,89611,24750
1787299949,89350,24752
1787299951,89296,24752
1787299953,89302,24752
1787299955,88845,24764
1787299957,88905,24764
1787299959,89128,24764
1787299961,89215,24764
1787299963,89214,24764
1787299965,89300,24764
1787299967,89373,24764
1787299969,89364,24764
1787299971,89392,24764
1787299973,89407,24764
1787299975,89394,24764
1787299977,89395,24764
1787299979,89197,24764
1787299981,89217,24764
1787299983,89245,24764
1787299985,89277,24764
1787299987,89306,24764
1787299989,89217,24764
1787299991,89248,24764
1787299993,89038,24764
1787299995,88999,24764
1787299997,89139,24764
1787299999,89166,24774
1787300001,89205,24774
1787300004,89223,24774
1787300006,89269,24774
1787300008,89306,24774
1787300010,89260,24838
1787300012,89266,24838
1787300014,89285,24838
1787300016,89170,24840
1787300018,89179,24842
1787300020,89208,24842
1787300022,89232,24842
1787300024,89252,24842
1787300026,89275,24842
1787300028,89184,24842
1787300030,89202,24842
1787300032,89190,24842
1787300034,89203,24842
1787300036,89014,24842
1787300038,89050,24842
1787300040,89063,24846
1787300042,89088,24846
1787300044,89110,24846
1787300046,89137,24846
1787300048,89145,24846
1787300051,89154,24846
1787300053,89185,24852
1787300055,89184,24852
1787300057,89179,24852
1787300059,89190,24852
1787300061,89200,24852
1787300063,89207,24852
1787300065,89217,24852
1787300067,89224,24852
1787300069,89232,24852
1787300071,89240,24852
1787300073,89242,24852
1787300075,89231,24852
1787300077,89241,24852
1787300080,89242,24852
1787300082,89204,24848
1787300084,89156,24848
1787300086,89167,24848
1787300088,89076,24848
1787300090,89180,24848
1787300092,89106,24848
1787300094,89023,24848
1787300096,89074,24848
1787300098,89096,24848
1787300100,89143,24848
1787300102,89126,24848
1787300104,89122,24848
1787300106,89140,24848
1787300108,89145,24848
1787300110,89137,24848
1787300112,89131,24848
1787300114,88786,24848
1787300116,88816,24848
1787300118,88840,24848
1787300120,88871,24848
1787300122,88867,24848
1787300124,88876,24848
1787300126,88672,24848
1787300128,88632,24848
1787300130,88735,24848
1787300132,88762,24851
1787300134,88799,24851
1787300136,88811,24851
1787300138,88852,24851
1787300140,88876,24851
1787300143,88882,24851
1787300145,88904,24851
1787300147,88927,24851
1787300149,88946,24851
1787300151,88959,24851
1787300153,88987,24851
1787300155,89017,24851
1787300157,89021,24851
1787300159,89043,24851
1787300161,89062,24851
1787300163,88980,24851
1787300165,88988,24851
1787300167,88997,24851
1787300169,89007,24851
1787300171,89019,24851
1787300173,88810,24851
1787300175,88874,24851
1787300177,88896,24853
1787300179,88934,24853
1787300181,88953,24853
1787300183,88972,24853
1787300185,88986,24853
1787300188,88996,24853
1787300190,89009,24853
1787300192,89011,24848
1787300194,88954,24848
1787300196,88946,24848
1787300198,88801,24848
1787300200,88864,24848
1787300202,88927,24848
1787300204,88906,24848
1787300206,88906,24848
1787300208,88922,24848
1787300210,88959,24848
1787300212,89004,24848
1787300214,88998,24848
1787300216,88990,24848
1787300218,88968,24848
1787300220,88974,24848
1787300222,88977,24848
1787300224,88951,24848
1787300226,88785,24848
1787300228,88807,24848
1787300230,88825,24848
1787300232,88862,24848
1787300234,88817,24848
1787300236,88852,24848
1787300238,88656,24848
1787300240,88627,24848
1787300242,88700,24848
1787300244,88695,24851
1787300247,88705,24851
1787300249,88728,24851
1787300251,88743,24851
1787300253,88778,24851
1787300255,88798,24851
1787300257,88822,24851
1787300259,88838,24851
1787300261,88842,24851
1787300263,88857,24851
1787300265,88864,24851
1787300267,88781,24851
1787300269,88861,24851
1787300271,88886,24851
1787300273,88896,24851
1787300275,88924,24851
1787300277,88838,24851
1787300279,88852,24851
1787300281,88883,24851
1787300283,88894,24851
1787300285,88920,24851
1787300287,88730,24851
1787300289,88799,24851
1787300291,88818,24853
1787300294,88831,24853
1787300296,88852,24853
1787300298,88862,24853
1787300300,88888,24853
1787300302,88897,24853
1787300304,88899,24853
1787300306,88401,24853
1787300308,88875,24853
1787300310,88866,24853
1787300312,88869,24853
1787300314,88881,24853
1787300316,88883,24853
1787300318,88900,24853
1787300320,88928,24853
1787300322,88929,24853
1787300324,88946,24853
1787300327,88965,24853
1787300329,88969,24853
1787300331,88971,24853
1787300333,88968,24853
1787300335,88964,24853
1787300337,88962,24853
1787300339,88974,24853
1787300341,88959,24853
1787300343,88951,24853
1787300345,88939,24853
1787300347,88918,24853
1787300349,88855,24853
1787300351,88831,24853
1787300353,88855,24853
1787300355,88863,24853
1787300357,88881,24853
1787300359,88876,24853
1787300361,88881,24853
1787300363,88843,24853
1787300365,88846,24853
1787300367,88859,24853
1787300369,88874,24853
1787300371,88819,24853
1787300373,88862,24853
1787300376,88856,24853
1787300378,88657,24853
1787300380,88631,24853
1787300382,88725,24860
1787300384,88744,24860
1787300386,88774,24860
1787300388,88796,24860
1787300390,88799,24860
1787300392,88818,24860
1787300394,88833,24860
1787300396,88842,24860
1787300398,88853,24860
1787300400,88855,24860
1787300402,88875,24860
1787300404,88883,24860
1787300406,88860,24860
1787300408,88853,24860
1787300410,88878,24860
1787300412,88904,24860
1787300414,88866,24860
